PID 17 is forked from PID 12
PID 16 is forked from PID 12
PID 15 is forked from PID 12
PID 14 is forked from PID 12
PID 13 is forked from PID 12
Parent PID 12
Child PIDs 13 14 15 16 17


Jiffies 5506, PID 12, -> Running
Jiffies 5507, PID 13, Forked from 12
Jiffies 5508, PID 13, Ready
Jiffies 5508, PID 14, Forked from 12
Jiffies 5508, PID 14, Ready
Jiffies 5508, PID 15, Forked from 12
Jiffies 5509, PID 15, Ready
Jiffies 5509, PID 16, Forked from 12
Jiffies 5510, PID 16, Ready
Jiffies 5510, PID 17, Forked from 12
Jiffies 5510, PID 17, Ready
Jiffies 5511, PID 12, -> Waiting (Wait)
Jiffies 5511, PID 17, -> Running
Jiffies 5526, PID 17, -> Ready (Preempted)
Jiffies 5526, PID 16, -> Running
Jiffies 5541, PID 16, -> Ready (Preempted)
Jiffies 5541, PID 15, -> Running
Jiffies 5556, PID 15, -> Ready (Preempted)
Jiffies 5556, PID 14, -> Running
Jiffies 5571, PID 14, -> Ready (Preempted)
Jiffies 5571, PID 13, -> Running
Jiffies 5571, PID 17, -> Running
Jiffies 5586, PID 17, -> Ready (Preempted)
Jiffies 5586, PID 16, -> Running
Jiffies 5601, PID 16, -> Ready (Preempted)
Jiffies 5601, PID 15, -> Running
Jiffies 5616, PID 15, -> Ready (Preempted)
Jiffies 5616, PID 14, -> Running
Jiffies 5631, PID 14, -> Ready (Preempted)
Jiffies 5631, PID 17, -> Running
Jiffies 5646, PID 17, -> Ready (Preempted)
Jiffies 5646, PID 16, -> Running
Jiffies 5661, PID 16, -> Ready (Preempted)
Jiffies 5661, PID 15, -> Running
Jiffies 5676, PID 13, -> Ready (Signal)
Jiffies 5676, PID 15, -> Ready (Preempted)
Jiffies 5676, PID 13, -> Running
Jiffies 5676, PID 14, -> Running
Jiffies 5691, PID 14, -> Ready (Preempted)
Jiffies 5691, PID 17, -> Running
Jiffies 5706, PID 17, -> Ready (Preempted)
Jiffies 5706, PID 16, -> Running
Jiffies 5721, PID 16, -> Ready (Preempted)
Jiffies 5721, PID 15, -> Running
Jiffies 5736, PID 15, -> Ready (Preempted)
Jiffies 5736, PID 14, -> Running
Jiffies 5751, PID 14, -> Ready (Preempted)
Jiffies 5751, PID 17, -> Running
Jiffies 5766, PID 17, -> Ready (Preempted)
Jiffies 5766, PID 16, -> Running
Jiffies 5781, PID 13, -> Ready (Signal)
Jiffies 5781, PID 16, -> Ready (Preempted)
Jiffies 5781, PID 13, -> Running
Jiffies 5781, PID 15, -> Running
Jiffies 5796, PID 15, -> Ready (Preempted)
Jiffies 5796, PID 14, -> Running
Jiffies 5811, PID 14, -> Ready (Preempted)
Jiffies 5811, PID 17, -> Running
Jiffies 5826, PID 17, -> Ready (Preempted)
Jiffies 5826, PID 16, -> Running
Jiffies 5841, PID 16, -> Ready (Preempted)
Jiffies 5841, PID 15, -> Running
Jiffies 5856, PID 15, -> Ready (Preempted)
Jiffies 5856, PID 14, -> Running
Jiffies 5871, PID 14, -> Ready (Preempted)
Jiffies 5871, PID 17, -> Running
Jiffies 5886, PID 13, -> Ready (Signal)
Jiffies 5886, PID 17, -> Ready (Preempted)
