Parent PID 12
Child PIDs 13 14 15 16 17

Jiffies 48, PID 1, Forked from 0
Jiffies 48, PID 1, Ready
Jiffies 48, PID 0, -> Ready (Preempted)
Jiffies 48, PID 1, -> Running
Jiffies 49, PID 2, Forked from 1
Jiffies 49, PID 2, Ready
Jiffies 49, PID 1, -> Waiting (Wait)
Jiffies 49, PID 2, -> Running
Jiffies 64, PID 3, Forked from 2
Jiffies 64, PID 3, Ready
Jiffies 68, PID 1, -> Ready (Signal)
Jiffies 68, PID 1, -> Running
Jiffies 68, PID 2, Exited
Jiffies 69, PID 4, Forked from 1
Jiffies 69, PID 4, Ready
Jiffies 69, PID 1, -> Waiting (Wait)
Jiffies 69, PID 3, -> Running
Jiffies 75, PID 4, -> Running
Jiffies 106, PID 5, Forked from 4
Jiffies 107, PID 5, Ready
Jiffies 107, PID 4, -> Waiting (Sleep)
Jiffies 107, PID 5, -> Running
Jiffies 109, PID 4, -> Ready
Jiffies 110, PID 4, -> Running
Jiffies 110, PID 5, Exited
Jiffies 115, PID 4, -> Waiting (Sleep)
Jiffies 115, PID 0, -> Running
Jiffies 743, PID 4, -> Ready
Jiffies 743, PID 4, -> Running
Jiffies 744, PID 4, -> Waiting (Sleep)
Jiffies 744, PID 0, -> Running
Jiffies 839, PID 4, -> Ready
Jiffies 839, PID 4, -> Running
Jiffies 839, PID 4, -> Waiting (Sleep)
Jiffies 839, PID 0, -> Running
Jiffies 882, PID 4, -> Ready
Jiffies 882, PID 4, -> Running
Jiffies 882, PID 4, -> Waiting (Sleep)
Jiffies 882, PID 0, -> Running
Jiffies 1154, PID 4, -> Ready
Jiffies 1154, PID 4, -> Running
Jiffies 1154, PID 4, -> Waiting (Sleep)
Jiffies 1154, PID 0, -> Running
Jiffies 1226, PID 4, -> Ready
Jiffies 1226, PID 4, -> Running
Jiffies 1226, PID 4, -> Waiting (Sleep)
Jiffies 1226, PID 0, -> Running
Jiffies 1269, PID 4, -> Ready
Jiffies 1269, PID 4, -> Running
Jiffies 1269, PID 4, -> Waiting (Sleep)
Jiffies 1269, PID 0, -> Running
Jiffies 1353, PID 4, -> Ready
Jiffies 1353, PID 4, -> Running
Jiffies 1353, PID 4, -> Waiting (Sleep)
Jiffies 1353, PID 0, -> Running
Jiffies 3074, PID 3, -> Ready (Signal)
Jiffies 3074, PID 3, -> Running
Jiffies 3074, PID 0, -> Running
Jiffies 3111, PID 4, -> Ready
Jiffies 3111, PID 4, -> Running
Jiffies 3116, PID 4, -> Waiting (Sleep)
Jiffies 3116, PID 0, -> Running
Jiffies 3191, PID 4, -> Ready
Jiffies 3191, PID 4, -> Running
Jiffies 3191, PID 4, -> Waiting (Sleep)
Jiffies 3191, PID 0, -> Running
Jiffies 4705, PID 4, -> Ready
Jiffies 4705, PID 4, -> Running
Jiffies 4706, PID 6, Forked from 4
Jiffies 4706, PID 6, Ready
Jiffies 4707, PID 4, -> Ready (Preempted)
Jiffies 4707, PID 6, -> Running
Jiffies 4714, PID 7, Forked from 6
Jiffies 4715, PID 7, Ready
Jiffies 4715, PID 6, -> Waiting (Wait)
Jiffies 4715, PID 7, -> Running
Jiffies 4719, PID 8, Forked from 7
Jiffies 4720, PID 8, Ready
Jiffies 4720, PID 7, -> Waiting (Wait)
Jiffies 4720, PID 8, -> Running
Jiffies 4742, PID 8, -> Ready (Preempted)
Jiffies 4742, PID 4, -> Running
Jiffies 4742, PID 4, -> Waiting (Wait)
Jiffies 4742, PID 8, -> Running
Jiffies 4785, PID 7, -> Ready (Signal)
Jiffies 4785, PID 7, -> Running
Jiffies 4785, PID 8, Exited
Jiffies 4786, PID 9, Forked from 7
Jiffies 4786, PID 9, Ready
Jiffies 4786, PID 7, -> Waiting (Wait)
Jiffies 4786, PID 9, -> Running
Jiffies 4921, PID 7, -> Ready (Signal)
Jiffies 4921, PID 7, -> Running
Jiffies 4921, PID 9, Exited
Jiffies 4922, PID 10, Forked from 7
Jiffies 4922, PID 10, Ready
Jiffies 4923, PID 7, -> Waiting (Wait)
Jiffies 4923, PID 10, -> Running
Jiffies 4960, PID 7, -> Ready (Signal)
Jiffies 4960, PID 7, -> Running
Jiffies 4961, PID 10, Exited
Jiffies 4963, PID 11, Forked from 7
Jiffies 4963, PID 11, Ready
Jiffies 4963, PID 7, -> Waiting (Wait)
Jiffies 4963, PID 11, -> Running
Jiffies 5042, PID 7, -> Ready (Signal)
Jiffies 5042, PID 7, -> Running
Jiffies 5042, PID 11, Exited
Jiffies 5044, PID 6, -> Ready (Signal)
Jiffies 5044, PID 6, -> Running
Jiffies 5044, PID 7, Exited
Jiffies 5046, PID 12, Forked from 6
Jiffies 5046, PID 12, Ready
Jiffies 5047, PID 6, -> Waiting (Wait)
Jiffies 5047, PID 12, -> Running
Jiffies 5048, PID 13, Forked from 12
Jiffies 5049, PID 13, Ready
Jiffies 5049, PID 14, Forked from 12
Jiffies 5050, PID 14, Ready
Jiffies 5050, PID 15, Forked from 12
Jiffies 5050, PID 15, Ready
Jiffies 5050, PID 16, Forked from 12
Jiffies 5051, PID 16, Ready
Jiffies 5051, PID 17, Forked from 12
Jiffies 5052, PID 17, Ready
Jiffies 5052, PID 12, -> Waiting (Wait)
Jiffies 5052, PID 17, -> Running
Jiffies 5067, PID 17, -> Ready (Preempted)
Jiffies 5067, PID 16, -> Running
Jiffies 5082, PID 16, -> Ready (Preempted)
Jiffies 5082, PID 15, -> Running
Jiffies 5097, PID 15, -> Ready (Preempted)
Jiffies 5097, PID 14, -> Running
Jiffies 5112, PID 14, -> Ready (Preempted)
Jiffies 5112, PID 13, -> Running
Jiffies 5127, PID 13, -> Ready (Preempted)
Jiffies 5127, PID 17, -> Running
Jiffies 5132, PID 17, -> Ready (Preempted)
Jiffies 5132, PID 16, -> Running
Jiffies 5137, PID 16, -> Ready (Preempted)
Jiffies 5137, PID 15, -> Running
Jiffies 5142, PID 15, -> Ready (Preempted)
Jiffies 5142, PID 14, -> Running
Jiffies 5147, PID 14, -> Ready (Preempted)
Jiffies 5147, PID 13, -> Running
Jiffies 5152, PID 13, -> Ready (Preempted)
Jiffies 5152, PID 17, -> Running
Jiffies 5157, PID 17, -> Ready (Preempted)
